COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
108.0,0.0,4168.20512820513,4172.8205128205145,4129.23076923077,4215.384615384617,4171.794871794873,4178.46153846154,4050.256410256412,4176.410256410258,4150.769230769232,4177.435897435899,4147.179487179489,4184.615384615386,3928.2051282051298,4149.743589743592,839.0,2042.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,0.0,4159.487179487181,4160.512820512822,4121.538461538463,4169.743589743592,4172.8205128205145,4176.410256410258,4033.846153846155,4165.128205128207,4163.076923076925,4182.564102564104,4168.71794871795,4167.179487179489,3967.692307692309,4147.179487179489,845.0,2042.0,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,0.0,4197.435897435899,4181.0256410256425,4165.641025641027,4180.512820512822,4171.282051282053,4180.512820512822,4036.4102564102577,4173.846153846155,4184.102564102565,4190.256410256412,4203.076923076925,4211.282051282053,4030.256410256412,4196.410256410258,807.0,2041.0,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,0.0,4236.410256410258,4157.435897435899,4209.23076923077,4188.71794871795,4163.589743589745,4186.666666666668,4043.0769230769247,4203.589743589745,4180.512820512822,4186.153846153848,4195.384615384617,4272.307692307694,4013.846153846155,4227.692307692309,825.0,2041.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,0.0,4234.871794871797,4142.564102564104,4206.153846153848,4179.487179487181,4168.20512820513,4191.794871794873,4023.0769230769247,4222.051282051283,4189.743589743592,4187.179487179489,4198.46153846154,4285.641025641027,4005.641025641027,4223.076923076925,839.0,2042.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,0.0,4186.666666666668,4170.256410256412,4155.897435897437,4190.769230769232,4170.256410256412,4185.641025641027,3941.5384615384633,4192.8205128205145,4193.846153846155,4190.256410256412,4208.71794871795,4220.000000000002,4038.9743589743603,4181.538461538463,845.0,2042.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,0.0,4164.615384615386,4169.23076923077,4146.153846153848,4177.94871794872,4170.769230769232,4170.256410256412,3901.5384615384633,4172.307692307694,4179.487179487181,4187.692307692309,4202.564102564104,4182.564102564104,4037.9487179487196,4163.589743589745,807.0,2043.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,0.0,4190.256410256412,4147.692307692309,4183.076923076925,4155.897435897437,4170.769230769232,4167.692307692309,3965.641025641027,4205.641025641027,4182.051282051283,4191.282051282053,4202.051282051283,4227.179487179489,4016.9230769230785,4189.743589743592,825.0,2044.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,0.0,4195.897435897437,4155.897435897437,4174.3589743589755,4164.102564102565,4163.589743589745,4173.333333333335,3999.487179487181,4218.97435897436,4192.8205128205145,4194.3589743589755,4209.743589743592,4241.0256410256425,4024.615384615386,4191.282051282053,839.0,2044.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,0.0,4193.333333333335,4169.743589743592,4162.051282051283,4171.794871794873,4168.71794871795,4172.8205128205145,3986.1538461538476,4196.923076923078,4194.871794871797,4190.256410256412,4212.307692307694,4226.153846153848,4040.0000000000014,4184.615384615386,845.0,2046.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
